Wavelength,Toluene,EtOH,DMF,ACN,MeOH,Hexanes,Acetone
641,0.022520642,0.024031085,0.023308131,0.023027497,0.021058445,0.02587624,0.022693964
640,0.022342455,0.024135882,0.023325339,0.022961529,0.021087737,0.025931881,0.022636473
639,0.022417215,0.024139412,0.02355126,0.022962129,0.021154916,0.025920422,0.022615857
638,0.022319455,0.024142148,0.023495732,0.022926679,0.021197425,0.025860524,0.022728959
637,0.022481629,0.024142887,0.023523222,0.022904548,0.021360132,0.025935013,0.022592106
636,0.022549624,0.024132406,0.023633608,0.023076468,0.021234392,0.026018172,0.022865938
635,0.022448944,0.023948059,0.023815825,0.023056158,0.021182747,0.02610811,0.022788645
634,0.02241479,0.023979544,0.023800075,0.02293009,0.021106324,0.025944219,0.022791537
633,0.022411491,0.02403497,0.023705884,0.022952441,0.021233658,0.026322886,0.022831859
632,0.022574627,0.023949153,0.023766689,0.023131315,0.021371716,0.026205022,0.022963576
631,0.022729177,0.024105671,0.024044354,0.023306711,0.021605654,0.026533476,0.023172816
630,0.022761092,0.024266297,0.023776942,0.023061372,0.021625488,0.026407303,0.022975366
629,0.022737088,0.024303554,0.023624616,0.022993379,0.021484902,0.026537136,0.023108545
628,0.022792055,0.024406088,0.023732759,0.022882637,0.021699853,0.026514325,0.023283878
627,0.022301715,0.024023315,0.023443052,0.022645691,0.021304965,0.026218908,0.022861954
626,0.022250842,0.023930362,0.023145839,0.022321635,0.021257797,0.025760283,0.022618257
625,0.022179843,0.02415824,0.023167054,0.022432671,0.021247685,0.026140934,0.022639146
624,0.022338395,0.024186538,0.023309661,0.022638164,0.02141207,0.026375806,0.02290231
623,0.022625265,0.024104002,0.023441577,0.022518188,0.021483733,0.026399765,0.02295457
622,0.022287054,0.023973006,0.023564241,0.022446055,0.021454849,0.026368324,0.022711966
621,0.022239235,0.024106328,0.023428244,0.022626629,0.02137071,0.026413575,0.022786408
620,0.022365484,0.02412343,0.023403684,0.02251508,0.02149075,0.026466918,0.022868912
619,0.022274847,0.024246178,0.023343476,0.022467263,0.021480306,0.026456244,0.022749254
618,0.022492888,0.024108107,0.023138877,0.022506955,0.021490505,0.026320879,0.022645118
617,0.022308745,0.024171896,0.023193076,0.022603749,0.021409731,0.026134913,0.022834369
616,0.022534574,0.024048403,0.023197909,0.022614412,0.021654928,0.026197956,0.022972909
615,0.022491171,0.024395848,0.023127083,0.022602904,0.021719936,0.026188635,0.022882145
614,0.022312724,0.024241032,0.023147205,0.022585425,0.021688832,0.026132522,0.022836143
613,0.022288798,0.02428899,0.023356615,0.022767066,0.021658084,0.026341204,0.022936394
612,0.022203244,0.024442098,0.023360412,0.022897753,0.021641867,0.026514435,0.023092192
611,0.022037171,0.024296135,0.023377676,0.022840017,0.021812336,0.026503236,0.02314087
610,0.021683199,0.023973253,0.022997964,0.022559549,0.021528803,0.026095382,0.022740552
609,0.02149026,0.023770107,0.022752036,0.02231504,0.021160243,0.025951693,0.022599468
608,0.02163765,0.023843007,0.022707711,0.022488908,0.02138882,0.025954139,0.022698247
607,0.021727148,0.02411046,0.022969334,0.022663854,0.021551816,0.026184951,0.022857152
606,0.021943716,0.024012044,0.023039316,0.022586325,0.021596812,0.026208514,0.022954242
605,0.02161417,0.023755534,0.022680273,0.022381837,0.021248582,0.025920642,0.022687555
